timestamp,price,volume,market_cap,price_change,price_change_pct,volume_change_pct,date,price_ma7,volume_ma7
2025-05-13 00:00:00,1.7671195122895982,351007142.0463437,426394436.3753346,,,,2025-05-13,1.7671195122895982,351007142.0463437
2025-05-14 00:00:00,1.933611559247318,412131294.5683764,466798009.52344227,0.1664920469577198,9.421663096346066,17.41393413412724,2025-05-14,1.850365535768458,381569218.30736005
2025-05-15 00:00:00,1.9326999860428893,242907719.2958685,467338130.8203525,-0.000911573204428695,-0.04714355373338641,-41.06059828573202,2025-05-15,1.877810352526602,335348718.6368629
2025-05-16 00:00:00,1.7794841456882793,334349887.9159008,429175093.15076977,-0.15321584035461,-7.927554274386484,37.644817910728136,2025-05-16,1.8532288008170212,335099010.95662236
2025-05-17 00:00:00,1.9726418439017859,305417940.3374018,477265078.48009884,0.1931576982135066,10.854701834884617,-8.653194938643527,2025-05-17,1.877111409433974,329162796.8327783
2025-05-18 00:00:00,1.6987961706124073,181476820.36080217,409529066.94440806,-0.2738456732893786,-13.88217907553485,-40.580825029361144,2025-05-18,1.8473922029637129,304548467.42078227
2025-05-19 00:00:00,1.8699143993249867,282776714.65485203,449695697.8310707,0.17111822871257942,10.072911139827468,55.819742759792135,2025-05-19,1.850609659586752,301438217.02564937
2025-05-20 00:00:00,1.9072241202797355,218543766.89404118,460009801.389543,0.037309720954748826,1.9952635782802153,-22.715076748526297,2025-05-20,1.870624603585343,282514877.71817756
2025-05-21 00:00:00,1.9415864160150833,146413799.59175918,468541894.4001471,0.03436229573534777,1.8016915458424432,-33.004815615379016,2025-05-21,1.871763868837881,244555235.57866082
2025-05-22 00:00:00,2.185920947160709,412327712.4685301,528085052.18423516,0.24433453114562553,12.584272795186635,181.61806716184543,2025-05-22,1.9079382918547125,268758091.74618393
2025-05-23 00:00:00,2.1767313262869674,174072424.91922963,525438756.50390744,-0.009189620873741422,-0.4204004214186208,-57.78299162161814,2025-05-23,1.9646878890830963,245861311.31808802
2025-05-24 00:00:00,1.9093844297821578,166522430.37948176,460828913.38591427,-0.2673468965048096,-12.282034685504595,-4.33727199655608,2025-05-24,1.9556511156374354,226019095.60981372
2025-05-25 00:00:00,1.9516052204853882,75605422.50985591,471172396.8011379,0.04222079070323037,2.211225253787541,-54.59745432638623,2025-05-25,1.9917666941907182,210894610.2025357
2025-05-26 00:00:00,1.8990237238213528,96960117.38162763,458104710.20965123,-0.05258149666403544,-2.6942691130411034,28.24492498403528,2025-05-26,1.9959251691187705,184349382.0206465
2025-05-27 00:00:00,2.0436117491463914,90421340.27410841,495020509.5589657,0.14458802532503867,7.613808269550648,-6.743780106807318,2025-05-27,2.0154091160997214,166046178.21779895
2025-05-28 00:00:00,2.310244736318498,174309401.92171678,557604161.3723096,0.2666329871721067,13.04714495223851,92.77462753074144,2025-05-28,2.0680745904287807,170031264.26493576
2025-05-29 00:00:00,2.1768677806432457,88411664.11003877,525502310.23611796,-0.13337695567525243,-5.773282526239876,-49.27888964374687,2025-05-29,2.066781280926286,123757543.07086556
2025-05-30 00:00:00,2.220062243862796,192730259.16043797,536169228.293691,0.04319446321955045,1.9842483592084292,117.99189179446094,2025-05-30,2.0729714120085467,126422947.96246675
2025-05-31 00:00:00,1.9371467967233986,239703060.2513233,469227490.9112231,-0.28291544713939754,-12.743581758641998,24.372302146796223,2025-05-31,2.0769374644287244,136877323.6584441
2025-06-01 00:00:00,1.9650967658010587,144257759.2441771,474354454.26488954,0.02794996907766012,1.4428420770659312,-39.818140372122876,2025-06-01,2.0788648280452486,146684800.33477572
2025-06-02 00:00:00,2.0250952125695982,78509023.06196854,489211389.36467344,0.05999844676853949,3.053205715499785,-45.57726151209609,2025-06-02,2.0968750407235697,144048929.71768156
2025-06-03 00:00:00,1.9581042364127303,80161834.72921085,472023948.47111964,-0.06699097615686789,-3.308040814133595,2.105250584939422,2025-06-03,2.084659681761618,142583286.06841046
2025-06-04 00:00:00,1.834124076187892,82723304.77049597,442729389.4181828,-0.12398016022483827,-6.331642510103109,3.195373521499145,2025-06-04,2.0166424446001026,129499557.90395036
2025-06-05 00:00:00,1.6656689852157773,82064672.2503854,401999409.0476664,-0.16845509097211475,-9.184498102344186,-0.7961873887145199,2025-06-05,1.9436140452533215,128592844.78114273
2025-06-06 00:00:00,1.666494519926931,112850257.73481198,401860386.47961324,0.0008255347111536526,0.049561750772864066,37.513810315963326,2025-06-06,1.8645329418339125,117181416.00605331
2025-06-07 00:00:00,1.6467660014412757,95410949.22819947,397507753.08642334,-0.019728518485655266,-1.183833384973887,-15.453494619031638,2025-06-07,1.823049971079323,96568257.28846419
2025-06-08 00:00:00,1.6600032603022168,47327219.84284886,400731010.5809534,0.01323725886094107,0.8038336259891032,-50.396447969872085,2025-06-08,1.7794651845794889,82721037.37398872
2025-06-09 00:00:00,1.6470648899224636,65093724.53848045,397641238.13794065,-0.012938370379753206,-0.7794183715878811,37.539717639501504,2025-06-09,1.7254608527727555,80804566.15634756
2025-06-10 00:00:00,1.7722484265242002,99130535.54427062,427529933.49665594,0.12518353660173664,7.600401014414793,52.288928383056565,2025-06-10,1.6989100227886793,83514380.55849896
2025-06-11 00:00:00,1.787419746937828,75003663.8985486,431110241.3174332,0.015171320413627676,0.8560493092597765,-24.338486131699767,2025-06-11,1.6922379757529562,82411574.71964934
2025-06-11 20:29:00,1.7336600861716884,65417038.307727456,418734219.57415664,-0.05375966076613947,-3.0076685041798057,-12.781543050734435,2025-06-11,1.7019509901752292,80033341.29926965
